date,geoRegion,entries,pop,sumTotal,per100Persons,per100Persons_mean7d,per100PersonsTotal,mean7d,type,version,granularity
2021-01-23,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-24,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-25,AA,0,NA,21,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-26,AA,0,NA,21,NA,NA,NA,0.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-27,AA,0,NA,21,NA,NA,NA,0.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-28,AA,0,NA,21,NA,NA,NA,0.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-29,AA,1,NA,22,NA,NA,NA,0.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-30,AA,0,NA,22,NA,NA,NA,0.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-01-31,AA,1,NA,23,NA,NA,NA,0.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-01,AA,0,NA,23,NA,NA,NA,0.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-02,AA,0,NA,23,NA,NA,NA,3.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-03,AA,0,NA,23,NA,NA,NA,3.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-04,AA,0,NA,23,NA,NA,NA,3.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-05,AA,22,NA,45,NA,NA,NA,3.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-06,AA,0,NA,45,NA,NA,NA,3.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-07,AA,0,NA,45,NA,NA,NA,3.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-08,AA,0,NA,45,NA,NA,NA,3.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-09,AA,0,NA,45,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-10,AA,0,NA,45,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-11,AA,0,NA,45,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-12,AA,0,NA,45,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-13,AA,0,NA,45,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-14,AA,0,NA,45,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-15,AA,0,NA,45,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-16,AA,0,NA,45,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-17,AA,0,NA,45,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-18,AA,0,NA,45,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-19,AA,0,NA,45,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-20,AA,0,NA,45,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-21,AA,0,NA,45,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-22,AA,0,NA,45,NA,NA,NA,17,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-23,AA,0,NA,45,NA,NA,NA,29.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-24,AA,0,NA,45,NA,NA,NA,29.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-25,AA,119,NA,164,NA,NA,NA,29.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-26,AA,89,NA,253,NA,NA,NA,29.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-27,AA,0,NA,253,NA,NA,NA,29.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-02-28,AA,0,NA,253,NA,NA,NA,31.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-01,AA,0,NA,253,NA,NA,NA,17.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-02,AA,0,NA,253,NA,NA,NA,8,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-03,AA,10,NA,263,NA,NA,NA,8,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-04,AA,22,NA,285,NA,NA,NA,8,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-05,AA,24,NA,309,NA,NA,NA,9.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-06,AA,0,NA,309,NA,NA,NA,13,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-07,AA,0,NA,309,NA,NA,NA,11.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-08,AA,12,NA,321,NA,NA,NA,8.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-09,AA,23,NA,344,NA,NA,NA,5.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-10,AA,1,NA,345,NA,NA,NA,5.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-11,AA,0,NA,345,NA,NA,NA,5.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-12,AA,0,NA,345,NA,NA,NA,3.43,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-13,AA,0,NA,345,NA,NA,NA,0.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-14,AA,0,NA,345,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-15,AA,0,NA,345,NA,NA,NA,0,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-16,AA,0,NA,345,NA,NA,NA,4.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-17,AA,0,NA,345,NA,NA,NA,4.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-18,AA,0,NA,345,NA,NA,NA,4.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-19,AA,33,NA,378,NA,NA,NA,4.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-20,AA,0,NA,378,NA,NA,NA,4.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-21,AA,0,NA,378,NA,NA,NA,4.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-22,AA,0,NA,378,NA,NA,NA,18.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-23,AA,0,NA,378,NA,NA,NA,27.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-24,AA,0,NA,378,NA,NA,NA,27.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-25,AA,98,NA,476,NA,NA,NA,27.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-26,AA,96,NA,572,NA,NA,NA,29.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-27,AA,0,NA,572,NA,NA,NA,30.86,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-28,AA,0,NA,572,NA,NA,NA,32.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-29,AA,11,NA,583,NA,NA,NA,23.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-30,AA,11,NA,594,NA,NA,NA,9.43,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-03-31,AA,9,NA,603,NA,NA,NA,9.43,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-01,AA,35,NA,638,NA,NA,NA,9.43,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-02,AA,0,NA,638,NA,NA,NA,7.86,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-03,AA,0,NA,638,NA,NA,NA,7.86,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-04,AA,0,NA,638,NA,NA,NA,6.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-05,AA,0,NA,638,NA,NA,NA,1.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-06,AA,11,NA,649,NA,NA,NA,1.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-07,AA,0,NA,649,NA,NA,NA,1.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-08,AA,0,NA,649,NA,NA,NA,1.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-09,AA,0,NA,649,NA,NA,NA,6.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-10,AA,0,NA,649,NA,NA,NA,5,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-11,AA,0,NA,649,NA,NA,NA,5,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-12,AA,35,NA,684,NA,NA,NA,5,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-13,AA,0,NA,684,NA,NA,NA,6.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-14,AA,0,NA,684,NA,NA,NA,6.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-15,AA,0,NA,684,NA,NA,NA,6.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-16,AA,11,NA,695,NA,NA,NA,1.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-17,AA,0,NA,695,NA,NA,NA,1.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-18,AA,0,NA,695,NA,NA,NA,3.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-19,AA,0,NA,695,NA,NA,NA,3.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-20,AA,0,NA,695,NA,NA,NA,3.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-21,AA,11,NA,706,NA,NA,NA,3.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-22,AA,0,NA,706,NA,NA,NA,3.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-23,AA,11,NA,717,NA,NA,NA,3.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-24,AA,1,NA,718,NA,NA,NA,3.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-25,AA,0,NA,718,NA,NA,NA,1.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-26,AA,0,NA,718,NA,NA,NA,1.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-27,AA,0,NA,718,NA,NA,NA,0.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-28,AA,0,NA,718,NA,NA,NA,0.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-29,AA,0,NA,718,NA,NA,NA,0.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-04-30,AA,0,NA,718,NA,NA,NA,0.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-01,AA,1,NA,719,NA,NA,NA,0.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-02,AA,0,NA,719,NA,NA,NA,0.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-03,AA,0,NA,719,NA,NA,NA,1.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-04,AA,0,NA,719,NA,NA,NA,9.43,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-05,AA,0,NA,719,NA,NA,NA,9.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-06,AA,7,NA,726,NA,NA,NA,9.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-07,AA,58,NA,784,NA,NA,NA,12.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-08,AA,0,NA,784,NA,NA,NA,17.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-09,AA,0,NA,784,NA,NA,NA,26.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-10,AA,23,NA,807,NA,NA,NA,25.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-11,AA,35,NA,842,NA,NA,NA,17,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-12,AA,61,NA,903,NA,NA,NA,17,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-13,AA,0,NA,903,NA,NA,NA,17,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-14,AA,0,NA,903,NA,NA,NA,13.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-15,AA,0,NA,903,NA,NA,NA,10,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-16,AA,0,NA,903,NA,NA,NA,6.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-17,AA,0,NA,903,NA,NA,NA,14.86,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-18,AA,9,NA,912,NA,NA,NA,16.43,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-19,AA,35,NA,947,NA,NA,NA,16.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-20,AA,60,NA,1007,NA,NA,NA,16.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-21,AA,11,NA,1018,NA,NA,NA,16.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-22,AA,1,NA,1019,NA,NA,NA,18.43,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-23,AA,0,NA,1019,NA,NA,NA,18.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-24,AA,0,NA,1019,NA,NA,NA,12,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-25,AA,22,NA,1041,NA,NA,NA,10.43,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-26,AA,36,NA,1077,NA,NA,NA,10.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-27,AA,14,NA,1091,NA,NA,NA,10.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-28,AA,0,NA,1091,NA,NA,NA,12,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-29,AA,0,NA,1091,NA,NA,NA,12.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-30,AA,0,NA,1091,NA,NA,NA,13.43,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-05-31,AA,12,NA,1103,NA,NA,NA,13.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-01,AA,24,NA,1127,NA,NA,NA,21.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-02,AA,44,NA,1171,NA,NA,NA,21.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-03,AA,12,NA,1183,NA,NA,NA,21.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-04,AA,57,NA,1240,NA,NA,NA,22.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-05,AA,0,NA,1240,NA,NA,NA,23.43,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-06,AA,0,NA,1240,NA,NA,NA,18.86,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-07,AA,22,NA,1262,NA,NA,NA,18.86,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-08,AA,29,NA,1291,NA,NA,NA,18.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-09,AA,12,NA,1303,NA,NA,NA,18.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-10,AA,12,NA,1315,NA,NA,NA,18.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-11,AA,55,NA,1370,NA,NA,NA,24,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-12,AA,0,NA,1370,NA,NA,NA,33.86,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-13,AA,0,NA,1370,NA,NA,NA,39,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-14,AA,60,NA,1430,NA,NA,NA,38.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-15,AA,98,NA,1528,NA,NA,NA,33.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-16,AA,48,NA,1576,NA,NA,NA,33.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-17,AA,10,NA,1586,NA,NA,NA,33.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-18,AA,19,NA,1605,NA,NA,NA,31.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-19,AA,0,NA,1605,NA,NA,NA,21.86,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-20,AA,1,NA,1606,NA,NA,NA,21.86,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-21,AA,46,NA,1652,NA,NA,NA,25.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-22,AA,29,NA,1681,NA,NA,NA,61.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-23,AA,48,NA,1729,NA,NA,NA,61.43,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-24,AA,34,NA,1763,NA,NA,NA,61.43,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-25,AA,271,NA,2034,NA,NA,NA,56.43,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-26,AA,1,NA,2035,NA,NA,NA,57.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-27,AA,1,NA,2036,NA,NA,NA,52,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-28,AA,11,NA,2047,NA,NA,NA,49,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-29,AA,34,NA,2081,NA,NA,NA,16.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-06-30,AA,12,NA,2093,NA,NA,NA,16.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-01,AA,13,NA,2106,NA,NA,NA,16,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-02,AA,42,NA,2148,NA,NA,NA,19.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-03,AA,0,NA,2148,NA,NA,NA,21.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-04,AA,0,NA,2148,NA,NA,NA,19.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-05,AA,33,NA,2181,NA,NA,NA,17.86,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-06,AA,49,NA,2230,NA,NA,NA,11.86,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-07,AA,1,NA,2231,NA,NA,NA,11.86,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-08,AA,0,NA,2231,NA,NA,NA,181.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-09,AA,0,NA,2231,NA,NA,NA,296.43,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-10,AA,0,NA,2231,NA,NA,NA,427.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-11,AA,1188,NA,3419,NA,NA,NA,518.43,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-12,AA,837,NA,4256,NA,NA,NA,636.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-13,AA,968,NA,5224,NA,NA,NA,707,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-14,AA,636,NA,5860,NA,NA,NA,707,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-15,AA,825,NA,6685,NA,NA,NA,537.43,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-16,AA,495,NA,7180,NA,NA,NA,418.29,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-17,AA,0,NA,7180,NA,NA,NA,281.86,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-18,AA,1,NA,7181,NA,NA,NA,192.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-19,AA,3,NA,7184,NA,NA,NA,75,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-20,AA,13,NA,7197,NA,NA,NA,38.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-21,AA,11,NA,7208,NA,NA,NA,38.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-22,AA,2,NA,7210,NA,NA,NA,38,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-23,AA,237,NA,7447,NA,NA,NA,39.43,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-24,AA,0,NA,7447,NA,NA,NA,37.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-25,AA,0,NA,7447,NA,NA,NA,36,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-26,AA,13,NA,7460,NA,NA,NA,50.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-27,AA,0,NA,7460,NA,NA,NA,21.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-28,AA,0,NA,7460,NA,NA,NA,21.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-29,AA,105,NA,7565,NA,NA,NA,21.57,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-30,AA,33,NA,7598,NA,NA,NA,19.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-07-31,AA,0,NA,7598,NA,NA,NA,19.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-08-01,AA,0,NA,7598,NA,NA,NA,19.71,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
2021-08-02,AA,0,NA,7598,NA,NA,NA,8.14,COVID19VaccDosesAdministered,2023-05-02_05-00-10,detailed
